Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
10002,90002,100002,100003,9,a7.0003_,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10003,320004,330004,330005,32,a7.0005_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10004,340006,350006,350007,34,a7.0002_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10005,80006,90006,90007,8,a7.0008_,0,0,0
10006,80007,90008,90009,8,a7.0004_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
10007,180010,190010,190011,18,a7.0006_,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
10008,150012,160011,160012,15,a7.0009_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10009,100013,110014,110015,10,a7.0003*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10010,350018,360022,360023,35,a7.0001_,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10011,340018,350019,350020,34,a7.0002*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10012,110018,120018,120019,11,b7.0003_,0,0,0
10013,150019,160019,160020,15,a7.0010_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10014,80015,90017,90018,8,a7.0004*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
10015,180024,190025,190026,18,b7.0009_,0,0,0
10016,340026,350028,350029,34,a7.0001*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10017,170026,180026,180027,17,a7.0013_,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
10018,350032,360037,360038,35,b7.0001_,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
10019,190032,200034,200035,19,b7.0010_,0,0,0
10020,160029,170030,170031,16,a7.0010*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10021,100026,110028,110029,10,b7.0004_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
10022,100027,110030,110031,10,a7.0007*,"1st Lineage, Notochord",Mesoderm 1 Notochord,"1st Lineage, Notochord"
10023,330039,340038,340039,33,a7.0005*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
10024,360136,370143,370144,36,b7.0001*,Posterior Head Endoderm,Posterior Endoderm,Head Endoderm
10025,180042,190043,190044,18,b7.0011_,0,0,Tail Epidermis
10026,150037,160038,160039,15,a7.0011_,Head Epidermis,Trunk Epidermis,Head Epidermis
10027,400063,410061,410062,40,b7.0007_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
10028,350049,360055,360056,35,b7.0002_,0,Posterior Endoderm,0
10029,160043,170045,170046,16,a7.0009*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
10030,180049,190051,190052,18,b7.0012_,0,0,Tail Epidermis
10031,160045,170048,170049,16,a7.0014_,Head Epidermis,Trunk Epidermis,Head Epidermis
10032,80034,90037,90038,8,a7.0008*,0,0,0
10035,100040,110045,110046,10,b7.0003*,0,0,0
10036,180056,190059,190060,18,a7.0006*,Trunk Lateral Cell,Mesoderm Trunk Lateral Cell,Trunk Lateral Cell
10038,160051,170055,170056,16,a7.0011*,Head Epidermis,Trunk Epidermis,Head Epidermis
10039,200065,210064,210065,20,b7.0008_,"1st Lineage, Tail Muscle",Mesoderm First Muscle,"1st Lineage, Tail Muscle"
10040,360074,370078,370079,36,b7.0002*,0,Posterior Endoderm,0
10042,170091,180061,180100,17,a7.0012_,Head Epidermis,Trunk Epidermis,Head Epidermis
10043,390089,400093,400094,39,b7.0005_,Trunk Ventral Cell,Mesoderm Trunk ventral Cell,Trunk Ventral Cell
10044,190067,200069,200070,19,b7.0013_,0,0,Tail Epidermis
10045,160057,170062,170063,16,a7.0013*,Anterior Dorsal Neural Plate,Lateral Neural Plate,Anterior Dorsal Neural Plate
10046,170064,180066,180067,17,a7.0015_,Head Epidermis,Trunk Epidermis,Head Epidermis
10048,180068,190072,190073,18,b7.0015_,Lateral Tail Epidermis,0,Tail Epidermis
